id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,house_condition,grade,sqft_above,sqft_basement,year_built,zipcode,lat,long,sqft_living_15
7129300520,2014-10-13,221900.0,3,1.0,1180,5650.0,1.0,0,1,3,7.0,1180.0,0,1955.0,98178,47.5112,-122.257,1340
6414100192,2014-12-09,538000.0,3,2.25,2570,7242.0,2.0,0,1,3,7.0,2170.0,400,1951.0,98125,47.721,-122.319,1690
5631500400,2015-02-25,180000.0,2,1.0,770,10000.0,1.0,0,1,3,6.0,770.0,0,1933.0,98028,47.7379,-122.233,2720
2487200875,2014-12-09,604000.0,4,3.0,1960,5000.0,1.0,0,1,5,7.0,1050.0,910,1965.0,98136,47.5208,-122.393,1360
1954400510,2015-02-18,510000.0,3,2.0,1680,8080.0,1.0,0,1,3,8.0,1680.0,0,1987.0,98074,47.6168,-122.045,1800
1321400060,2014-06-27,257500.0,3,2.25,1715,6819.0,2.0,0,1,3,7.0,1715.0,0,1995.0,98003,47.3097,-122.327,2238
2008000270,2015-01-15,291850.0,3,1.5,1060,9711.0,1.0,0,1,3,7.0,1060.0,0,1963.0,98198,47.4095,-122.315,1650
2414600126,2015-04-15,229500.0,3,1.0,1780,7470.0,1.0,0,1,3,7.0,1050.0,730,1960.0,98146,47.5123,-122.337,1780
3793500160,2015-03-12,323000.0,3,2.5,1890,6560.0,2.0,0,1,3,7.0,1890.0,0,2003.0,98038,47.3684,-122.031,2390
9212900260,2014-05-27,468000.0,2,1.0,1160,6000.0,1.0,0,1,4,7.0,860.0,300,1942.0,98115,47.69,-122.292,1330
114101516,2014-05-28,310000.0,3,1.0,1430,19901.0,1.5,0,1,4,7.0,1430.0,0,1927.0,98028,47.7558,-122.229,1780
6054650070,2014-10-07,400000.0,3,1.75,1370,9680.0,1.0,0,1,4,7.0,1370.0,0,1977.0,98074,47.6127,-122.045,1370
1175000570,2015-03-12,530000.0,5,2.0,1810,4850.0,1.5,0,1,3,7.0,1810.0,0,1900.0,98107,47.67,-122.394,1360
9297300055,2015-01-24,650000.0,4,3.0,2950,5000.0,2.0,0,4,3,9.0,1980.0,970,1979.0,98126,47.5714,-122.375,2140
6865200140,2014-05-29,485000.0,4,1.0,1600,4300.0,1.5,0,1,4,7.0,1600.0,0,1916.0,98103,47.6648,-122.343,1610
16000397,2014-12-05,189000.0,2,1.0,1200,9850.0,1.0,0,1,4,7.0,1200.0,0,1921.0,98002,47.3089,-122.21,1060
7983200060,2015-04-24,230000.0,3,1.0,1250,9774.0,1.0,0,1,4,7.0,1250.0,0,1969.0,98003,47.3343,-122.306,1280
6300500875,2014-05-14,385000.0,4,1.75,1620,4980.0,1.0,0,1,4,7.0,860.0,760,1947.0,98133,47.7025,-122.341,1400
7137970340,2014-07-03,285000.0,5,2.5,2270,6300.0,2.0,0,1,3,8.0,2270.0,0,1995.0,98092,47.3266,-122.169,2240
8091400200,2014-05-16,252700.0,2,1.5,1070,9643.0,1.0,0,1,3,7.0,1070.0,0,1985.0,9803,47.3533,-122.166,1220
3814700200,2014-11-20,329000.0,3,2.25,2450,6500.0,2.0,0,1,4,8.0,2450.0,0,1985.0,9803,47.3739,-122.172,2200
1202000200,2014-11-03,233000.0,3,2.0,1710,4697.0,1.5,0,1,5,6.0,1710.0,0,1941.0,98002,47.3048,-122.218,1030
1794500383,2014-06-26,937000.0,3,2.1151728286520752,2450,2691.0,2.0,0,1,3,8.0,1750.0,700,1915.0,98119,47.6386,-122.36,1760
3303700376,2014-12-01,667000.0,3,1.0,1400,1581.0,1.5,0,1,5,8.0,1400.0,0,1909.0,98112,47.6221,-122.314,1860
5101402488,2014-06-24,438000.0,3,1.75,1520,6380.0,1.0,0,1,3,7.0,790.0,730,1948.0,98115,47.695,-122.304,1520
1873100390,2015-03-02,719000.0,4,2.5,2570,7173.0,2.0,0,1,3,8.0,2570.0,0,2005.0,98052,47.7073,-122.11,2630
8562750320,2014-11-10,580500.0,3,2.5,2320,3980.0,2.0,0,1,3,8.0,2320.0,0,2003.0,98027,47.5391,-122.07,2580
2426039314,2014-12-01,280000.0,2,1.5,1190,1265.0,3.0,0,1,3,7.0,1190.0,0,2005.0,98133,47.7274,-122.357,1390
461000390,2014-06-24,687500.0,4,1.75,2330,5000.0,1.5,0,1,4,7.0,1510.0,820,1929.0,98117,47.6823,-122.368,1460
7589200193,2014-11-10,535000.0,3,1.0,1090,3000.0,1.5,0,1,4,8.0,1090.0,0,1929.0,98117,47.6889,-122.375,1570
7955080270,2014-12-03,322500.0,4,2.75,2060,6659.0,1.0,0,1,3,7.0,1280.0,780,1981.0,98058,47.4276,-122.157,2020
9547205180,2014-06-13,696000.0,3,2.5,2300,3060.0,1.5,0,1,3,8.0,1510.0,790,1930.0,98115,47.6827,-122.31,1590
9435300030,2014-05-28,550000.0,4,1.0,1660,34848.0,1.0,0,1,1,5.0,930.0,730,1933.0,98052,47.6621,-122.132,2160
2768000400,2014-12-30,640000.0,4,2.0,2360,6000.0,2.0,0,1,4,8.0,2360.0,0,1904.0,98107,47.6702,-122.362,1730
7895500070,2015-02-13,240000.0,4,1.0,1220,8075.0,1.0,0,1,2,7.0,890.0,330,1969.0,98001,47.3341,-122.282,1290
2078500320,2014-06-20,605000.0,4,2.5,2620,7553.0,2.0,0,1,3,8.0,2620.0,0,1996.0,98056,47.5301,-122.18,2620
5547700270,2014-07-15,625000.0,4,2.5,2570,5520.0,2.0,0,1,3,9.0,2570.0,0,2000.0,98074,47.6145,-122.027,2470
7203220400,2014-07-07,861990.0,5,2.75,3595,5639.0,2.0,0,1,3,9.0,3595.0,0,2014.0,98053,47.6848,-122.016,3625
9270200160,2014-10-28,685000.0,3,1.0,1570,2280.0,2.0,0,1,3,7.0,1570.0,0,1922.0,98119,47.6413,-122.364,1580
8035350320,2014-07-18,488000.0,3,2.5,3160,13603.0,2.0,0,1,3,8.0,3160.0,0,2003.0,98019,47.7443,-121.977,3050
8945200830,2015-03-25,210490.0,3,1.0,990,8528.0,1.0,0,1,3,6.0,990.0,0,1966.0,98023,47.3066,-122.371,1228
4178300310,2014-07-16,785000.0,4,2.5,2290,13416.0,2.0,0,1,4,9.0,2290.0,0,1981.0,98007,47.6194,-122.151,2680
9215400105,2015-04-28,450000.0,3,1.75,1250,5963.0,1.0,0,1,4,7.0,1250.0,0,1953.0,98115,47.6796,-122.301,970
822039084,2015-03-11,1350000.0,3,2.5,2753,65005.0,1.0,1,3,5,9.0,2165.0,588,1953.0,9807,47.4041,-122.451,2680
5245600105,2014-09-16,228000.0,3,1.0,1190,9199.0,1.0,0,1,3,7.0,1190.0,0,1955.0,98148,47.4258,-122.322,1190
7231300125,2015-02-17,345000.0,5,2.5,3150,9134.0,1.0,0,1,4,8.0,1640.0,1510,1966.0,98056,47.4934,-122.189,1990
7518505990,2014-12-31,600000.0,3,1.75,1410,4080.0,1.0,0,1,4,7.0,1000.0,410,1950.0,98117,47.6808,-122.384,1410
3626039271,2015-02-05,585000.0,2,1.75,1980,8550.0,1.0,0,1,3,7.0,990.0,990,1981.0,98117,47.6989,-122.369,1480
4217401195,2015-03-03,920000.0,5,2.25,2730,6000.0,1.5,0,1,3,8.0,2130.0,600,1927.0,98105,47.6571,-122.281,2730
9822700295,2014-05-12,885000.0,4,2.5,2830,5000.0,2.0,0,1,3,9.0,2830.0,0,1995.0,98105,47.6597,-122.29,1950
9478500640,2014-08-19,292500.0,4,2.5,2250,4495.0,2.0,0,1,3,7.0,2250.0,0,2008.0,98042,47.3663,-122.114,2250
2799800710,2015-04-07,301000.0,3,2.5,2420,4750.0,2.0,0,1,3,8.0,2420.0,0,2003.0,98042,47.3663,-122.122,2690
7922800400,2014-08-27,951000.0,5,3.25,3250,14342.0,2.0,0,5,4,8.0,3250.0,0,1968.0,98008,47.588,-122.116,2960
8079040320,2015-02-23,430000.0,4,3.0,1850,9976.0,2.0,0,1,3,8.0,1850.0,0,1991.0,98059,47.5059,-122.149,2270
1516000055,2014-12-10,650000.0,3,2.25,2150,21235.0,1.0,0,4,4,8.0,1590.0,560,1959.0,98166,47.4336,-122.339,2570
9558200045,2014-08-28,289000.0,3,1.75,1260,8400.0,1.0,0,1,3,7.0,1260.0,0,1954.0,98148,47.4366,-122.335,1290
5072410070,2014-10-21,505000.0,3,1.75,2519,8690.0,2.0,0,1,5,8.0,2519.0,0,1973.0,98166,47.4428,-122.344,2500
9528102996,2014-12-07,549000.0,3,1.75,1540,1044.0,3.0,0,1,3,8.0,1540.0,0,2014.0,98115,47.6765,-122.32,1580
1189001180,2014-06-03,425000.0,3,2.25,1660,6000.0,1.0,0,1,3,7.0,1110.0,550,1979.0,98122,47.6113,-122.297,1440
3253500160,2014-11-20,317625.0,3,2.75,2770,3809.0,1.5,0,1,5,7.0,1770.0,1000,1925.0,98144,47.5747,-122.304,1440
3394100030,2014-09-09,975000.0,4,2.5,2720,11049.0,2.0,0,1,3,10.0,2720.0,0,1989.0,98004,47.5815,-122.192,2750
3717000160,2014-10-09,287000.0,4,2.5,2240,4648.0,2.0,0,1,3,7.0,2240.0,0,2005.0,98001,47.3378,-122.257,2221
1274500060,2014-08-25,204000.0,3,1.0,1000,12070.0,1.0,0,1,4,7.0,1000.0,0,1968.0,98042,47.3621,-122.11,1010
1049000060,2015-01-05,325000.0,3,2.0,1260,5612.0,1.0,0,1,4,7.0,1260.0,0,1972.0,98034,47.7362,-122.179,1640
8820901275,2014-06-10,571000.0,4,2.0,2750,7807.0,1.5,0,1,5,7.0,2250.0,500,1916.0,98125,47.7168,-122.287,1510
5416510140,2014-07-10,360000.0,4,2.5,2380,5000.0,2.0,0,1,3,8.0,2380.0,0,2005.0,98038,47.3608,-122.036,2420
3444100400,2015-03-16,349000.0,3,1.75,1790,50529.0,1.0,0,1,5,7.0,1090.0,700,1965.0,98042,47.3511,-122.073,1940
3276920270,2014-11-05,832500.0,4,4.0,3430,35102.0,2.0,0,1,4,10.0,2390.0,1040,1986.0,98075,47.5822,-121.987,3240
4036801170,2014-10-13,380000.0,4,1.75,1760,7300.0,1.0,0,1,3,7.0,880.0,880,1956.0,98008,47.6034,-122.125,1680
2391600320,2015-04-20,480000.0,3,1.0,1040,5060.0,1.0,0,1,3,7.0,1040.0,0,1941.0,98116,47.5636,-122.394,890
6300000287,2014-06-09,410000.0,3,1.0,1410,5060.0,1.0,0,1,4,7.0,910.0,500,1956.0,98133,47.7073,-122.34,1130
1531000030,2015-03-23,720000.0,4,2.5,3450,39683.0,2.0,0,1,3,10.0,3450.0,0,2002.0,9801,47.342,-122.025,3350
5104520400,2014-12-02,390000.0,3,2.5,2350,5100.0,2.0,0,1,3,8.0,2350.0,0,2003.0,98038,47.3512,-122.008,2350
7437100340,2014-12-22,360000.0,4,2.5,1900,5889.0,2.0,0,1,3,7.0,1900.0,0,1992.0,98038,47.349,-122.031,1870
9418400240,2014-10-28,355000.0,2,1.0,2020,6720.0,1.0,0,1,3,7.0,1010.0,1010,1948.0,98118,47.5474,-122.291,1720
